Japanese,Kana,English
まるっきり,まるっきり,completely; perfectly; just as if
丸々,まるまる,completely
丸める,まるめる,to make round; to round off; to roll up
満月,まんげつ,full moon
満場,まんじょう,unanimous; whole audience
真ん前,まんまえ,right in front; under the nose
真ん丸い,まんまるい,perfectly circular
真ん円い,まんまるい,perfectly round
～味,～み,~ cast (sense of taste)
見合い,みあい,formal marriage interview
見合わせる,みあわせる,to exchange glances; to postpone
見落とす,みおとす,to overlook; to fail to notice
未開,みかい,savage land; backward region; uncivilized
味覚,みかく,taste; palate; sense of taste
幹,みき,(tree) trunk
見苦しい,みぐるしい,unsightly; ugly
見込み,みこみ,prospects; expectation; hope
未婚,みこん,unmarried
未熟,みじゅく,inexperience; unskilled; immature
微塵,みじん,particle; atom
水気,みずけ,moisture; dampness
ミスプリント,ミスプリント,misprint
みすぼらしい,みすぼらしい,shabby; seedy
ミセス,ミセス,Mrs.
見せびらかす,みせびらかす,to show off; to flaunt
見せ物,みせもの,show; exhibition
溝,みぞ,ditch; drain; gutter; gap
満たす,みたす,to satisfy; to ingratiate; to fill; to fulfill
乱す,みだす,to throw out of order; to disarrange; to disturb
乱れる,みだれる,to get confused; to be disordered; to be disturbed
未知,みち,not yet known
身近,みぢか,near oneself; close to one; familiar
導く,みちびく,to be guided; to be shown
密集,みっしゅう,crowd; close formation; dense
密接,みっせつ,connected; close; intimate
密度,みつど,density
見積もり,みつもり,estimation; quotation
未定,みてい,not yet fixed; undecided; pending
見通し,みとおし,perspective; unobstructed view; prospect
見なす,みなす,to consider as; to regard
源,みなもと,source; origin
見習う,みならう,to follow another's example
身なり,みなり,personal appearance
峰,みね,peak; ridge
身の上,みのうえ,one's future; one's welfare; one's personal history
見逃す,みのがす,to miss; to overlook; to leave at large
身の回り,みのまわり,one's personal appearance; personal belongings
見計らう,みはからう,to choose at one's own discretion
見晴らし,みはらし,view
身振り,みぶり,gesture
脈,みゃく,pulse
ミュージック,ミュージック,music
未練,みれん,lingering affection; attachment; regret(s)
見渡す,みわたす,to look out over; to survey (scene); to take an extensive view of
民宿,みんしゅく,private house providing lodging and meals to tourists
民族,みんぞく,people; race
民俗,みんぞく,folk customs
無意味,むいみ,nonsense; no meaning
ムード,ムード,mood
無口,むくち,reticence
婿,むこ,son-in-law
無効,むこう,invalid; no effect; unavailable
無言,むごん,silence
無邪気,むじゃき,innocence; simple-mindedness
むしる,むしる,to pluck; to pick; to tear
結び,むすび,ending; conclusion; union
結び付き,むすびつき,connection; relation
結び付く,むすびつく,to be connected or related; to join together
結び付ける,むすびつける,to combine; to join; to tie on; to attach with a knot
無線,むせん,wireless; radio
無駄遣い,むだづかい,waste money on; squander money on
無断,むだん,without permission; without notice
無知,むち,ignorance
無茶,むちゃ,absurd; unreasonable
無茶苦茶,むちゃくちゃ,confused; jumbled; mixed up; unreasonable
空しい,むなしい,vacant; futile; vain
無念,むねん,chagrin; regret
無能,むのう,inefficiency; incompetence
無闇に,むやみに,unreasonably; absurdly; at random
無用,むよう,useless; needlessness; unnecessariness
斑,むら,unevenness; inconsistency; irregularity
群がる,むらがる,to swarm; to gather
無論,むろん,of course; naturally
名産,めいさん,noted product
名称,めいしょう,name
命中,めいちゅう,a hit
明白,めいはく,obvious; clear
名簿,めいぼ,register of names
名誉,めいよ,honor; credit; prestige
明瞭,めいりょう,clarity
明朗,めいろう,bright; clear; cheerful
メーカー,メーカー,manufacturer
目方,めかた,weight
恵み,めぐみ,blessing
恵む,めぐむ,to bless; to show mercy to
目覚しい,めざましい,brilliant; remarkable
目覚める,めざめる,to wake up
召す,めす,to call; to send for; to put on
雌,めす,female (animal)
目付き,めつき,look; expression of the eyes; eyes
滅亡,めつぼう,downfall; collapse; destruction
メディア,メディア,media
目途,めど,goal; outlook
目盛,めもり,scale; gradations
メロディー,メロディー,melody
面会,めんかい,interview
免除,めんじょ,exemption; exoneration; discharge
面する,めんする,to face on; to look out on to
面目,めんぼく,face; honor; reputation
面目,めんもく,face; honor; reputation
～網,～もう,~ network
設ける,もうける,to create; to establish
申し入れる,もうしいれる,to propose; to suggest
申込,もうしこみ,application; request; proposal
申出,もうしで,request; claim; report
申し出る,もうしでる,to report to; to tell; to suggest
申し分,もうしぶん,objection; shortcomings
盲点,もうてん,blind spot
猛烈,もうれつ,violent; vehement; rage
モーテル,モーテル,motel
もがく,もがく,to struggle; to wriggle; to be impatient
目録,もくろく,catalogue; catalog; list
目論見,もくろみ,a plan; a scheme; intention
模型,もけい,model; dummy; marquette
模索,もさく,groping (for)
もしかして,もしかして,perhaps; possibly
もしくは,もしくは,or; otherwise
もたらす,もたらす,to bring; to take; to bring about
持ち切り,もちきり,hot topic; talk of the town
目下,もっか,at present; now
専ら,もっぱら,wholly; solely; entirely
もてなす,もてなす,to entertain; to make welcome
もてる,もてる,to be well liked; to be popular
モニター,モニター,(computer) monitor
物好き,ものずき,(idle) curiosity
物足りない,ものたりない,unsatisfied; unsatisfactory
もはや,もはや,already; now
模範,もはん,model; example
模倣,もほう,imitation; copying
もめる,もめる,to disagree; to dispute
股,もも,thigh; femur
腿,もも,thigh; femur
催す,もよおす,to hold (a meeting); to give (a dinner)
漏らす,もらす,to let leak; to reveal
盛り上がる,もりあがる,to rouse; to swell; to rise
漏る,もる,to leak; to run out
漏れる,もれる,to leak out; to escape; to filter out
脆い,もろい,brittle; fragile; tender-hearted
もろに,もろに,completely; altogether; bodily
矢,や,arrow
野外,やがい,fields; outskirts; open air; suburbs
～薬,～やく,medicine
夜具,やぐ,bedding
役職,やくしょく,post; managerial position; official position
役場,やくば,town hall
やけに,やけに,sure; very
屋敷,やしき,mansion
養う,やしなう,to rear; to maintain; to cultivate
野心,やしん,ambition; aspiration
安っぽい,やすっぽい,cheap-looking; tawdry
休める,やすめる,to rest; to suspend; to give relief
野生,やせい,wild
奴,やつ,(vulg.) fellow; guy; chap
闇,やみ,darkness; shady; illegal
病む,やむ,to fall ill; to be ill
ややこしい,ややこしい,puzzling; tangled; complicated; complex
やりとおす,やりとおす,to carry through; to achieve; to complete
やりとげる,やりとげる,to accomplish
和らげる,やわらげる,to soften; to moderate; to relieve
ヤング,ヤング,young
～油,～ゆ,~ oil
優位,ゆうい,predominance; ascendancy; superiority
憂鬱,ゆううつ,depression; melancholy
有益,ゆうえき,beneficial; profitable
優越,ゆうえつ,supremacy; predominance; being superior to
勇敢,ゆうかん,bravery; heroism; gallantry
夕暮れ,ゆうぐれ,evening; (evening) twilight
融資,ゆうし,financing; loan
有する,ゆうする,to own; to be endowed with
優勢,ゆうせい,superiority; superior power; predominance
優先,ゆうせん,preference; priority
誘導,ゆうどう,guidance; leading; inducement
融通,ゆうずう,adaptability; versatility; finance
優美,ゆうび,grace; refinement; elegance
有望,ゆうぼう,good prospects; full of hope; promising
遊牧,ゆうぼく,nomadism
夕焼け,ゆうやけ,sunset
有力,ゆうりょく,influence; prominence; potent
幽霊,ゆうれい,ghost; specter; phantom
誘惑,ゆうわく,temptation; allurement; lure
故,ゆえ,reason; cause; circumstances
歪む,ゆがむ,to warp; to be crooked; to be distorted
揺さぶる,ゆさぶる,to shake; to jolt; to rock; to swing
濯ぐ,ゆすぐ,to rinse; to wash out
ゆとり,ゆとり,reserve; affluence; time (to spare)
ユニーク,ユニーク,unique
ユニフォーム,ユニフォーム,uniform
指差す,ゆびさす,to point at
弓,ゆみ,bow
揺らぐ,ゆらぐ,to swing; to sway; to shake
緩む,ゆるむ,to become loose; to slacken
緩める,ゆるめる,to loosen; to slow down
緩やか,ゆるやか,lenient
要因,よういん,primary factor; main cause
溶液,ようえき,solution
用件,ようけん,business
養護,ようご,protection; nursing; protective care
用紙,ようし,a form
様式,ようしき,style; form; pattern
要する,ようする,to demand; to require; to take
要請,ようせい,claim; demand; request; application
様相,ようそう,aspect
用品,ようひん,articles; supplies; parts
洋風,ようふう,western style
用法,ようほう,directions; rules of use
要望,ようぼう,demand for; request
余暇,よか,leisure; leisure time; spare time
予感,よかん,presentiment; premonition
余興,よきょう,side show; entertainment
預金,よきん,deposit; bank account
欲,よく,greed; wants
抑圧,よくあつ,restraint; oppression; suppression
浴室,よくしつ,bathroom; bath
抑制,よくせい,control; restraint; suppression
欲深い,よくふかい,greedy
欲望,よくぼう,desire; appetite
避ける,よける,to avoid (physical contact with; to ward off to avert
予言,よげん,prediction; promise; prognostication
横綱,よこづな,sumo grand champion
汚れ,よごれ,dirt; filth
よし (かん),よし (かん),all right!
良し,よし,all right!
善し悪し,よしあし,good or bad; merits or demerits; quality
余所見,よそみ,looking away; looking aside
余地,よち,place; room; margin
よって (よりどころ),よって (よりどころ),therefore; consequently
与党,よとう,government party; (ruling) party in power; government
呼び止める,よびとめる,to flag down
夜更し,よふかし,staying up late; keeping late hours
夜更け,よふけ,late at night
余程,よほど,very; much; to a large extent; quite
読み上げる,よみあげる,to read out loud (and clearly); to call a roll
～寄り,～より,near to ~ (e.g. North by East)
寄り掛かる,よりかかる,to lean against; to recline on; to lean on; to rely on
世論,よろん,public opinion
弱る,よわる,to weaken; to be troubled; to be emaciated
来場,らいじょう,attendance
ライス,ライス,rice
酪農,らくのう,dairy farming
落下,らっか,fall; drop; come down
楽観,らっかん,optimism
ランプ,ランプ,lamp; ramp
濫用,らんよう,abuse; misuse; using to excess
リード,リード,lead; reed
理屈,りくつ,theory; reason
利子,りし,interest (bank)
利潤,りじゅん,profit; returns
理性,りせい,reason; sense
利息,りそく,interest (bank)
立体,りったい,solid body
立方,りっぽう,cube
立法,りっぽう,legislation; lawmaking
利点,りてん,advantage; point in favor
略奪,りゃくだつ,pillage; looting; robbery
略語,りゃくご,abbreviation; acronym
流通,りゅうつう,circulation of money or goods; distribution
領域,りょういき,area; territory; region
了解,りょうかい,comprehension; consent; understanding
領海,りょうかい,territorial waters
両極,りょうきょく,both extremities; north and south poles
良好,りょうこう,favorable; satisfactory
良識,りょうしき,good sense
良質,りょうしつ,good quality; superior quality
了承,りょうしょう,acknowledgment; understanding
良心,りょうしん,conscience
領地,りょうち,territory
領土,りょうど,territory; possession
両立,りょうりつ,compatibility; coexistence; standing together
旅客,りょかく,passenger
旅券,りょけん,passport
履歴,りれき,personal history; background; log
理論,りろん,theory
林業,りんぎょう,forestry
類,るい,kind; class; family
類推,るいすい,analogy
類似,るいじ,analogous
ルーズ,ルーズ,loose
冷酷,れいこく,cruelty; coldheartedness; ruthless
冷蔵,れいぞう,refrigeration
冷淡,れいたん,coolness; indifference
レース,レース,race; lace
レギュラー,レギュラー,regular
レッスン,レッスン,lesson
レディー,レディー,lady
レバー,レバー,lever; liver
恋愛,れんあい,love; romance
バッテリー,バッテリー,battery
バット,バット,bat; vat
発病,はつびょう,attack; to become sick
初耳,はつみみ,something heard for the first time
果て,はて,the end; the extremity; the limit(s)
果てる,はてる,to end; to be finished; to be exhausted
ばてる,ばてる,to be exhausted; to be worn out
パトカー,パトカー,patrol car
甚だ,はなはだ,very; greatly; exceedingly
華々しい,はなばなしい,brilliant; magnificent; spectacular
花びら,はなびら,(flower) petal
華やか,はなやか,brilliant; gorgeous; florid
阻む,はばむ,to keep someone from doing; to stop; to oppose
浜,はま,beach; seashore
浜辺,はまべ,beach; foreshore
はまる,はまる,to get into; to go into; to fit; to be fit for; to suit
早める,はやめる,to hasten; to quicken; to accelerate
腹立ち,はらだち,anger
原っぱ,はらっぱ,open field; empty lot; plain
はらはら,はらはら,feel nervous
ばらまく,ばらまく,to disseminate; to scatter
張り紙,はりがみ,notice; poster
遥か,はるか,far; far-away; distant
破裂,はれつ,explosion; rupture; break off
腫れる,はれる,to swell (from inflammation to become swollen)
繁栄,はんえい,prospering; prosperity; flourishing
版画,はんが,art print
ハンガー,ハンガー,(coat) hanger
反感,はんかん,antipathy; revolt; animosity
反響,はんきょう,echo; reverberation; repercussion
パンク,パンク,puncture; bursting; punk
反撃,はんげき,counterattack; counteroffensive; counterblow
判決,はんけつ,judicial decision; judgment; sentence; decree
反射,はんしゃ,reflection; reverberation
繁盛,はんじょう,prosperity; flourishing; thriving
繁殖,はんしょく,breed; multiply; propagation
反する,はんする,to be inconsistent with; to oppose; to contradict
判定,はんてい,judgment; decision; award; verdict
万人,ばんにん,all people; everybody; 10000 people
晩年,ばんねん,(one's) last years
反応,はんのう,reaction; response
万能,ばんのう,all-purpose; almighty; omnipotent
半端,はんぱ,fragment; fraction; incompleteness
反発,はんぱつ,repelling; rebound; oppose
反乱,はんらん,rebellion; revolt; uprising
氾濫,はんらん,overflowing; flood
美,び,beauty
ひいては,ひいては,not only…but also; in addition to; consequently
ビールス,ビールス,virus
控室,ひかえしつ,waiting room
控える,ひかえる,to hold back; to make notes
悲観,ひかん,pessimism; disappointment
引き上げる,ひきあげる,to withdraw; to leave; to pull out
率いる,ひきいる,to lead; to spearhead (a group); to command (troops)
引き起こす,ひきおこす,to cause
引下げる,ひきさげる,to pull down; to lower; to reduce; to withdraw
引きずる,ひきずる,to drag along; to pull; to prolong
引取る,ひきとる,to take back; to adopt; to leave
否決,ひけつ,rejection; negation; voting down
日頃,ひごろ,normally; habitually
久しい,ひさしい,long; long-continued; old (story)
悲惨,ひさん,tragedy; disaster; misery; wretched; pitiful
ビジネス,ビジネス,business
比重,ひじゅう,specific gravity
美術,びじゅつ,art; fine arts
秘書,ひしょ,(private) secretary
微笑,びしょう,smile
歪む,ひずむ,to warp; to be distorted
密か,ひそか,secret; private; surreptitious
浸す,ひたす,to soak; to dip; to drench
ひたすら,ひたすら,nothing but; earnestly; intently
左利き,ひだりきき,left-handedness; sake drinker; left-hander
引っ掻く,ひっかく,to scratch
必修,ひっしゅう,required (subject)
びっしょり,びっしょり,wet through; drenched
必然,ひつぜん,inevitable; necessary
匹敵,ひってき,comparing with; rival; equal
一息,ひといき,a breath; a pause; an effort
人影,ひとかげ,man's shadow; soul
人柄,ひとがら,personality; character
人気,ひとけ,sign of life
一頃,ひところ,once; some time ago
人質,ひとじち,hostage
一筋,ひとすじ,a line; earnestly; blindly; straightforwardly
人目,ひとめ,glimpse; public gaze
日取り,ひどり,fixed date; appointed day
雛,ひな,young bird; chick; doll
雛祭,ひなまつり,Girls' (dolls') Festival
日向,ひなた,sunny place; in the sun
非難,ひなん,blame; attack; criticism
避難,ひなん,taking refuge; finding shelter
日の丸,ひのまる,the Japanese flag
火花,ひばな,spark
ひび (かべの～),ひび (かべの～),crack; fissure; flaw
悲鳴,ひめい,shriek; scream
冷やかす,ひやかす,to banter; to make fun of; to jeer at; to cool; to refrigerate
日焼け,ひやけ,sunburn
標語,ひょうご,motto; slogan; catchword
描写,びょうしゃ,depiction; description; portrayal
ひょっと,ひょっと,possibly; accidentally
びら,びら,handout; leaflet
平たい,ひらたい,flat; even; level
びり,びり,last on the list; at the bottom
比率,ひりつ,ratio; proportion; percentage
